,pl_name,hostname,default_flag,sy_pnum,discoverymethod,disc_year,disc_facility,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_rade,pl_bmasse,pl_bmassprov,pl_eqt,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,pl_pubdate,releasedate
2206,HD 39194 d,HD 39194,1,3,Radial Velocity,2021,La Silla Observatory,<a refstr=UNGER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A.104U/abstract target=ref>Unger et al. 2021</a>,33.91,0.03,-0.03,,4,Msini,,<a refstr=UNGER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A.104U/abstract target=ref>Unger et al. 2021</a>,K0 V,5205,,0.67,-0.61,[Fe/H],4.53,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h44m30.98s,86.129071,-70d08m17.66s,-70.1382377,26.4131,8.09,0.03,-0.03,6.094,0.02,-0.02,7.85201,0.000243,-0.000243,2021-10,11/2/2021
2207,HD 39855 b,HD 39855,1,1,Radial Velocity,2019,Las Campanas Observatory,<a refstr=FENG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..242...25F/abstract target=ref>Feng et al. 2019</a>,3.2498,0.0004,-0.0004,,8.5,Msini,,<a refstr=FENG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..242...25F/abstract target=ref>Feng et al. 2019</a>,G8 V,5576,,0.87,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h54m30.26s,88.6260731,-19d42m16.01s,-19.7044472,23.2599,7.51,0.03,-0.03,5.756,0.026,-0.026,7.32113,0.00018,-0.00018,2019-06,5/23/2019
2208,HD 40307 b,HD 40307,1,5,Radial Velocity,2009,La Silla Observatory,<a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>,4.3123,0.0011,-0.0012,,4,Msini,,<a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>,K2.5 V,4956,,0.77,-0.31,[Fe/H],4.47,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h54m04.13s,88.5172191,-60d01m25.42s,-60.0237289,12.9363,7.17,0.03,-0.03,4.793,0.016,-0.016,6.84367,0.00026,-0.00026,2013-01,5/14/2014
2212,HD 40307 c,HD 40307,1,5,Radial Velocity,2009,La Silla Observatory,<a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>,9.6184,0.005,-0.0049,,6.6,Msini,,<a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>,K2.5 V,4956,,0.77,-0.31,[Fe/H],4.47,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h54m04.13s,88.5172191,-60d01m25.42s,-60.0237289,12.9363,7.17,0.03,-0.03,4.793,0.016,-0.016,6.84367,0.00026,-0.00026,2013-01,5/14/2014
2215,HD 40307 d,HD 40307,1,5,Radial Velocity,2009,La Silla Observatory,<a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>,20.432,0.022,-0.024,,9.5,Msini,,<a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>,K2.5 V,4956,,0.77,-0.31,[Fe/H],4.47,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h54m04.13s,88.5172191,-60d01m25.42s,-60.0237289,12.9363,7.17,0.03,-0.03,4.793,0.016,-0.016,6.84367,0.00026,-0.00026,2013-01,5/14/2014
2217,HD 40307 f,HD 40307,1,5,Radial Velocity,2013,La Silla Observatory,<a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>,51.76,0.5,-0.46,,5.2,Msini,,<a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>,K2.5 V,4956,,0.77,-0.31,[Fe/H],4.47,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h54m04.13s,88.5172191,-60d01m25.42s,-60.0237289,12.9363,7.17,0.03,-0.03,4.793,0.016,-0.016,6.84367,0.00026,-0.00026,2013-01,5/14/2014
2221,HD 40307 g,HD 40307,1,5,Radial Velocity,2013,La Silla Observatory,<a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>,197.8,5.7,-9,,7.1,Msini,,<a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>,K2.5 V,4956,,0.77,-0.31,[Fe/H],4.47,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h54m04.13s,88.5172191,-60d01m25.42s,-60.0237289,12.9363,7.17,0.03,-0.03,4.793,0.016,-0.016,6.84367,0.00026,-0.00026,2013-01,5/14/2014
2224,HD 40979 b,HD 40979,1,1,Radial Velocity,2002,Multiple Observatories,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,264.14999,0.23,-0.23,,1484.2661,Msini,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6165,1.21,1.45,0.2,[Fe/H],4.43,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h04m30.08s,91.1253346,+44d15m35.23s,44.2597855,34.0883,6.75512,0.023,-0.023,5.452,0.02,-0.02,6.59963,0.000348,-0.000348,2017-03,9/6/2018
2227,HD 41004 A b,HD 41004 A,1,2,Radial Velocity,2004,La Silla Observatory,<a refstr=ZUCKER_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...426..695Z/abstract target=ref> Zucker et al. 2004 </a>,963,38,-38,,807.25,Msini,,<a refstr=ZUCKER_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...426..695Z/abstract target=ref> Zucker et al. 2004 </a>,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h59m49.58s,89.9566041,-48d14m21.91s,-48.2394189,36.69117,8.65,0.03,-0.03,6.428,0.036,-0.036,,,,2004-11,12/3/2014
2228,HD 41004 B b,HD 41004 B,1,2,Radial Velocity,2003,La Silla Observatory,<a refstr=ZUCKER_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...426..695Z/abstract target=ref> Zucker et al. 2004 </a>,1.3283,1.20E-05,-1.20E-05,,5838.29,Msini,,<a refstr=ZUCKER_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...426..695Z/abstract target=ref> Zucker et al. 2004 </a>,M2 V,,,0.4,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h59m49.58s,89.9565956,-48d14m21.88s,-48.2394114,41.5504,8.6078,0.0459,-0.0459,,,,8.37625,0.000815,-0.000815,2004-11,12/3/2014
