,pl_name,hostname,default_flag,sy_pnum,discoverymethod,disc_year,disc_facility,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_rade,pl_bmasse,pl_bmassprov,pl_eqt,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,pl_pubdate,releasedate
0,11 Com b,11 Com,1,1,Radial Velocity,2007,Xinglong Station,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,326.03,0.32,-0.32,,6165.6,Msini,,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,G8 III,4742,19,2.7,-0.35,[Fe/H],2.31,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846,4.72307,0.023,-0.023,2.282,0.346,-0.346,4.44038,0.0038479,-0.0038479,2008-01,5/14/2014
6,14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,185.84,0.23,-0.23,,1525.5,Msini,,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,K0 III,4813,11,2.2,-0.24,[Fe/H],2.63,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,75.4392,5.23133,0.023,-0.023,2.331,0.24,-0.24,4.91781,0.0028262,-0.0028262,2008-12,5/14/2014
12,14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,1773.40002,2.5,-2.5,,1481.0878,Msini,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5338,0.93,0.9,0.41,[Fe/H],4.45,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323,6.61935,0.023,-0.023,4.714,0.016,-0.016,6.383,0.0003512,-0.0003512,2017-03,9/6/2018
1445,HD 145675 c,14 Her,1,2,Radial Velocity,2021,Multiple Observatories,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210511583R/abstract target=ref>Rosenthal et al. 2021</a>,25000,24000,-9200,,1843.40476,Msini,,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210511583R/abstract target=ref>Rosenthal et al. 2021</a>,,5314.94,1,0.97,0.405,[Fe/H],4.43,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323,6.61935,0.023,-0.023,4.714,0.016,-0.016,6.383,0.0003512,-0.0003512,2021-05,9/20/2021
15,16 Cyg B b,16 Cyg B,1,1,Radial Velocity,1996,Multiple Observatories,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,798.5,1,-1,,565.7374,Msini,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5750,1.13,1.08,0.06,[Fe/H],4.36,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397,6.215,0.016,-0.016,4.651,0.016,-0.016,6.06428,0.0006029,-0.0006029,2017-03,9/6/2018
21,18 Del b,18 Del,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60..539S/abstract target=ref> Sato et al. 2008 </a>,993.3,3.2,-3.2,,3273.5,Msini,,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60..539S/abstract target=ref> Sato et al. 2008 </a>,G6 III,4979,8.5,2.3,-0.052,[Fe/H],2.82,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.222,5.51048,0.023,-0.023,3.366,0.204,-0.204,5.27476,0.0026539,-0.0026539,2008-06,5/14/2014
27,24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,<a refstr=TAKARADA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018PASJ...70...59T/abstract target=ref>Takarada et al. 2018</a>,30.3506,0.0078,-0.0077,,289.2253,Msini,,<a refstr=TAKARADA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018PASJ...70...59T/abstract target=ref>Takarada et al. 2018</a>,G3 IV,4893,10.64,0.99,-0.77,[Fe/H],2.42,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863,5.59,0.001,-0.001,3.159,0.28,-0.28,5.3339,0.0019998,-0.0019998,2018-08,4/26/2018
28,24 Sex b,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,452.8,2.1,-4.5,,632.46,Msini,,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,,5098,4.9,1.54,-0.03,[Fe/H],3.5,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,6.4535,0.023,-0.023,4.285,0.016,-0.016,6.20374,0.0004976,-0.0004976,2011-01,5/14/2014
29,24 Sex c,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,883,32.4,-13.8,,273.32,Msini,,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,,5098,4.9,1.54,-0.03,[Fe/H],3.5,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,6.4535,0.023,-0.023,4.285,0.016,-0.016,6.20374,0.0004976,-0.0004976,2011-01,5/14/2014
32,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,W. M. Keck Observatory,<a refstr=BOWLER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...55B/abstract target=ref> Bowler et al. 2013 </a>,,,,,7786.5,Mass,,<a refstr=BOWLER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...55B/abstract target=ref> Bowler et al. 2013 </a>,M3.5 V,3530,,0.4,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,33.8281,14.244,0.074,-0.074,9.198,0.026,-0.026,12.9025,0.001151,-0.001151,2013-09,5/14/2014
36,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,Paranal Observatory,<a refstr=CHAUVIN_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...425L..29C/abstract target=ref> Chauvin et al. 2004 </a>,,,,,1589.15,Mass,1250,<a refstr=CHAUVIN_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...425L..29C/abstract target=ref> Chauvin et al. 2004 </a>,M8,,,0.02,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,64.308,,,,11.945,0.026,-0.026,17.4076,0.002154,-0.002154,2004-10,2/25/2016
40,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,W. M. Keck Observatory,<a refstr=BOWLER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...18B/abstract target=ref>Bowler et al. 2017</a>,,,,,3972.875,Mass,,<a refstr=BOWLER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...18B/abstract target=ref>Bowler et al. 2017</a>,K7 V,4045,,0.6,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h36m24.62s,339.1025931,+47d51m42.06s,47.861683,69.5737,12.368,0.057,-0.057,9.148,0.018,-0.018,11.9484,0.000737,-0.000737,2017-01,11/10/2016
43,30 Ari B b,30 Ari B,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,335.10001,2.5,-2.5,,4392.4106,Msini,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6331,1.41,1.93,0.19,[Fe/H],4.43,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,44.657,7.09209,0.023,-0.023,5.822,0.021,-0.021,6.96085,0.000512,-0.000512,2017-03,9/6/2018
44,4 UMa b,4 UMa,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,<a refstr=DOLLINGER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...472..649D/abstract target=ref> Dollinger et al. 2007 </a>,269.3,1.96,-1.96,,2256.5,Msini,,<a refstr=DOLLINGER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...472..649D/abstract target=ref> Dollinger et al. 2007 </a>,K1 III,4415,18.11,1.23,-0.25,[Fe/H],1.8,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,73.4603,4.5801,0.023,-0.023,1.734,0.218,-0.218,4.23773,0.0047288,-0.0047288,2007-09,5/14/2014
45,42 Dra b,42 Dra,1,1,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,<a refstr=DOELLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...499..935D/abstract target=ref> Doellinger et al. 2009 </a>,479.1,6.2,-6.2,,1233.13,Msini,,<a refstr=DOELLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...499..935D/abstract target=ref> Doellinger et al. 2009 </a>,K1.5 III,4200,22.03,0.98,-0.46,[Fe/H],1.71,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h25m59.40s,276.4975053,+65d33m48.11s,65.5633652,90.6545,4.8262,0.023,-0.023,2.085,0.216,-0.216,4.43216,0.006238,-0.006238,2009-06,5/14/2014
48,47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,<a refstr=GREGORY___FISCHER_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.403..731G/abstract target=ref> Gregory &amp; Fischer 2010 </a>,1078,2,-2,,804.08,Msini,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5872,1.21,1.06,0.04,[M/H],4.3,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,5.03352,0.023,-0.023,3.75,0.34,-0.34,4.87837,0.0038294,-0.0038294,2010-04,5/14/2014
53,47 UMa c,47 UMa,1,3,Radial Velocity,2001,Lick Observatory,<a refstr=GREGORY___FISCHER_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.403..731G/abstract target=ref> Gregory &amp; Fischer 2010 </a>,2391,100,-87,,171.621,Msini,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5872,1.21,1.06,0.04,[M/H],4.3,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,5.03352,0.023,-0.023,3.75,0.34,-0.34,4.87837,0.0038294,-0.0038294,2010-04,5/14/2014
54,47 UMa d,47 UMa,1,3,Radial Velocity,2009,Lick Observatory,<a refstr=GREGORY___FISCHER_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.403..731G/abstract target=ref> Gregory &amp; Fischer 2010 </a>,14002,4018,-5095,,521.22,Msini,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5872,1.21,1.06,0.04,[M/H],4.3,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,5.03352,0.023,-0.023,3.75,0.34,-0.34,4.87837,0.0038294,-0.0038294,2010-04,5/14/2014
57,51 Eri b,51 Eri,1,1,Imaging,2015,Gemini Observatory,<a refstr=MACINTOSH_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Sci...350...64M/abstract target=ref>Macintosh et al. 2015</a>,,,,,635.66,Mass,700,<a refstr=MACINTOSH_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Sci...350...64M/abstract target=ref>Macintosh et al. 2015</a>,F0 IV,,,1.75,-0.027,[M/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,29.7575,5.21149,0.023,-0.023,4.537,0.024,-0.024,5.15806,0.0023075,-0.0023075,2015-00,8/14/2015
60,51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>,4.230785,3.60E-05,-3.60E-05,,150.009,Msini,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5758,1.18,1.03,0.18,[M/H],4.31,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.4614,5.45309,0.023,-0.023,3.911,0.021,-0.021,5.28647,0.002768,-0.002768,2006-07,5/14/2014
67,55 Cnc b,55 Cnc,1,5,Radial Velocity,1996,Lick Observatory,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,14.6516,0.0001,-0.0001,,255.4,Msini,,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172,0.94,0.91,0.35,[Fe/H],4.43,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,2018-10,2/11/2021
78,55 Cnc c,55 Cnc,1,5,Radial Velocity,2004,McDonald Observatory,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,44.3989,0.0042,-0.0043,,51.2,Msini,,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172,0.94,0.91,0.35,[Fe/H],4.43,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,2018-10,2/11/2021
90,55 Cnc d,55 Cnc,1,5,Radial Velocity,2002,Lick Observatory,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,5574.2,93.8,-88.6,,991.6,Msini,,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172,0.94,0.91,0.35,[Fe/H],4.43,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,2018-10,2/11/2021
104,55 Cnc e,55 Cnc,1,5,Radial Velocity,2004,McDonald Observatory,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,0.7365474,1.30E-06,-1.40E-06,1.875,7.99,Mass,,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172,0.94,0.91,0.35,[Fe/H],4.43,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,2018-10,2/11/2021
111,55 Cnc f,55 Cnc,1,5,Radial Velocity,2007,Multiple Observatories,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,259.88,0.29,-0.29,,47.8,Msini,,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172,0.94,0.91,0.35,[Fe/H],4.43,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,2018-10,2/11/2021
115,6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,934.3,8.6,-8.6,,638.8383,Msini,,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,,4938,5.2,1.44,,,3.19,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753,54.6599,5.87307,0.023,-0.023,3.701,0.3,-0.3,5.60686,0.001085,-0.001085,2019-04,12/6/2018
119,61 Vir b,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,4.215,0.0006,-0.0006,,5.1,Msini,,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,G5 V,5577,0.96,0.94,-0.01,[Fe/H],4.34,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,4.6955,0.0462,-0.0462,2.956,0.236,-0.236,4.54052,0.0055701,-0.0055701,2010-01,5/14/2014
120,61 Vir c,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,38.021,0.034,-0.034,,18.2,Msini,,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,G5 V,5577,0.96,0.94,-0.01,[Fe/H],4.34,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,4.6955,0.0462,-0.0462,2.956,0.236,-0.236,4.54052,0.0055701,-0.0055701,2010-01,5/14/2014
122,61 Vir d,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,123.01,0.55,-0.55,,22.9,Msini,,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,G5 V,5577,0.96,0.94,-0.01,[Fe/H],4.34,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,4.6955,0.0462,-0.0462,2.956,0.236,-0.236,4.54052,0.0055701,-0.0055701,2010-01,5/14/2014
124,7 CMa b,7 CMa,1,2,Radial Velocity,2011,Anglo-Australian Telescope,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A.136L/abstract target=ref>Luque et al. 2019</a>,735.1,14.8,-1,,587.9855,Msin(i)/sin(i),,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A.136L/abstract target=ref>Luque et al. 2019</a>,,4826,4.87,1.34,0.21,[Fe/H],3.19,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h36m41.11s,99.171276,-19d15m22.25s,-19.2561808,19.8101,3.95,0.03,-0.03,1.564,0.252,-0.252,3.67853,0.0041348,-0.0041348,2019-11,10/24/2019
126,7 CMa c,7 CMa,1,2,Radial Velocity,2019,Multiple Observatories,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A.136L/abstract target=ref>Luque et al. 2019</a>,996,1.5,-52.4,,276.5121,Msin(i)/sin(i),,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A.136L/abstract target=ref>Luque et al. 2019</a>,,4826,4.87,1.34,0.21,[Fe/H],3.19,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h36m41.11s,99.171276,-19d15m22.25s,-19.2561808,19.8101,3.95,0.03,-0.03,1.564,0.252,-0.252,3.67853,0.0041348,-0.0041348,2019-11,10/24/2019
127,70 Vir b,70 Vir,1,1,Radial Velocity,1996,Lick Observatory,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,116.688,0.0054,-0.0054,,2357.02728,Msini,,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,,5495,1.89,1.09,,,3.95,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,17.9011,4.96808,0.023,-0.023,3.5,0.294,-0.294,4.76178,0.0044158,-0.0044158,2019-04,12/6/2018
133,75 Cet b,75 Cet,1,1,Radial Velocity,2012,Okayama Astrophysical Observatory,<a refstr=SATO_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012PASJ...64..135S/abstract target=ref> Sato et al. 2012 </a>,691.9,3.6,-3.6,,953.49,Msini,,<a refstr=SATO_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012PASJ...64..135S/abstract target=ref> Sato et al. 2012 </a>,G3 III,4846,10.5,2.49,0,[Fe/H],2.63,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613,5.3532,0.023,-0.023,3.207,0.272,-0.272,5.09343,0.0039324,-0.0039324,2012-12,9/3/2015
